latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
34.39659,-118.32566,367,0.65,0.73,2016-07-23,0842,N,VIIRS,h,1,306.9,16.4,0
34.39711,-118.34167,307.7,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,294.9,5,0
34.39684,-118.33342,314.7,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,295.6,16.4,0
34.39635,-118.31864,312.3,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,295.3,17.6,0
34.39138,-118.3763,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,309.8,34.2,0
34.39108,-118.36699,355.8,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,313,23.1,0
34.39078,-118.3577,333.5,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,304.3,23.1,0
34.39012,-118.33703,322.2,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,296.8,6,0
34.38982,-118.328,327.5,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,297.7,7.1,0
34.38959,-118.32068,342.4,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,296.6,7.1,0
34.39168,-118.38571,308.1,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,295.2,34.2,0
34.39043,-118.34658,312,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,296.1,6,0
34.38453,-118.37626,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,300.8,34.2,0
34.38423,-118.36703,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,315.1,23.1,0
34.3839,-118.35662,352.7,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,309.1,23.1,0
34.38301,-118.3288,340.8,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,297.5,7.1,0
34.38279,-118.32169,327.6,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,295.6,7.1,0
34.38354,-118.34535,318,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,300.2,6,0
34.38326,-118.33656,316,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,297.3,6,0
34.37739,-118.36739,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,311.1,56.4,0
34.37707,-118.35718,367,0.66,0.73,2016-07-23,0842,N,VIIRS,h,1,317,56.4,0
34.37678,-118.34797,335,0.66,0.73,2016-07-23,0842,N,VIIRS,n,1,304.1,10,0
34.37653,-118.33995,323.6,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,301.4,10,0
34.37629,-118.3326,336,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,298.8,13.4,0
34.37606,-118.32535,356,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,301.1,13.4,0
34.37584,-118.31836,341.4,0.65,0.73,2016-07-23,0842,N,VIIRS,n,1,295.8,13.8,0
